0,1,2,3,4
0,506.80285714285714,41,1200.0,2.60952
0,39596.87142857143,11,40200.0,0.0876
0,-1833.3857142857144,4,-1200.0,0.9348
15,43800.0,0,44494.29285714286,2.6401999999999997
30,82500.0,0,83148.43142857144,1.35608
0,29588.617142857143,45,30300.0,3.1187199999999997
45,51600.0,0,52312.328571428574,3.1452
0,1125.9057142857143,37,1800.0,2.07464
0,55381.11,54,56100.0,3.32892
54,81300.0,0,82020.84857142858,3.38376
0,28488.878571428573,22,29100.0,0.3114
0,65006.96428571428,20,65700.0,2.605
0,42474.48714285714,53,43200.0,3.5143600000000004
36,74100.0,0,74798.15285714286,2.7482800000000003
0,80679.49571428572,23,81300.0,0.57412
0,57596.52857142857,10,58200.0,0.0972
9,22200.0,0,22853.121428571427,1.4874
0,31481.307142857146,24,32100.0,0.5234
24,35700.0,0,36319.06857142857,0.53392
42,35100.0,0,35827.19857142857,3.56156
8,65100.0,0,65743.78285714285,1.22592
0,81241.28857142857,31,81900.0,1.64392
0,31781.307142857146,24,32400.0,0.5234
11,75000.0,0,75603.12857142858,0.0876
55,44400.0,0,45132.72142857143,3.7162
50,60900.0,0,61620.65285714286,3.37828
16,50400.0,0,51059.06428571429,1.6538
10,86700.0,0,87303.47142857143,0.0972
0,3292.92,1,3900.0,0.19824
5,77100.0,0,77707.32428571429,0.20508
37,26100.0,0,26774.86,2.09608
44,63000.0,0,63736.48428571429,3.82156
50,35100.0,0,35820.65285714286,3.37828
0,56396.87142857143,11,57000.0,0.0876
0,46657.45428571429,57,47400.0,3.99128
0,29571.432857142856,56,30300.0,3.59988
10,57000.0,0,57603.47142857143,0.0972
0,34974.188571428575,36,35700.0,3.52272
25,19800.0,0,20429.192857142854,0.8174
0,49674.188571428575,36,50400.0,3.52272
28,45600.0,0,46240.067142857144,1.1218800000000002
48,67500.0,0,68211.18571428572,3.1132
49,80400.0,0,81103.75571428571,2.90516
40,78900.0,0,79618.03571428571,3.305
23,39600.0,0,40220.50428571428,0.57412
26,52800.0,0,53428.862857142856,0.80816
0,44681.30714285714,24,45300.0,0.5234
31,44100.0,0,44758.717142857146,1.64408
0,77065.63428571429,7,77700.0,0.96224
0,32881.11,54,33600.0,3.32892
0,67665.08571428571,58,68400.0,3.7776
0,28188.878571428573,22,28800.0,0.3114
0,37400.44857142857,17,38100.0,2.78744
45,51900.0,0,52612.328571428574,3.1452
23,52800.0,0,53420.50428571428,0.57412
0,55681.11,54,56400.0,3.32892
0,37760.327142857146,28,38400.0,1.11084
0,61106.52714285714,48,61800.0,2.61724
42,35400.0,0,36127.19857142857,3.56156
52,56100.0,0,56816.01714285714,3.2484800000000003
32,58200.0,0,58856.93571428571,1.5942
0,38081.30714285714,24,38700.0,0.5234
0,30796.262857142858,49,31500.0,2.90464
0,28671.432857142856,56,29400.0,3.59988
0,26931.005714285715,33,27600.0,1.93184
36,41100.0,0,41798.15285714286,2.7482800000000003
39,75600.0,0,76284.28285714285,2.35992
17,47400.0,0,48065.43571428571,1.8322
22,81900.0,0,82511.49714285714,0.32192
0,59933.14142857143,34,60600.0,1.87204
0,38360.327142857146,28,39000.0,1.11084
24,36300.0,0,36919.06857142857,0.53392
11,46500.0,0,47103.12857142857,0.0876
0,29854.314285714285,40,30600.0,4.0792
0,30497.064285714285,50,31200.0,2.8822
0,23887.572857142855,52,24600.0,3.1479600000000003
19,58200.0,0,58866.89428571428,1.87304
21,46500.0,0,47176.892857142855,2.153
0,28470.817142857144,25,29100.0,0.8171200000000001
38,80700.0,0,81407.55285714286,3.01148
10,40800.0,0,41403.47142857143,0.0972
