0,1,2,3,4
0,48547.23,9,49200.0,1.47756
57,74100.0,0,74843.59857142858,4.02076
0,69547.23,9,70200.0,1.47756
0,76674.48714285715,53,77400.0,3.5143600000000004
0,36506.52714285714,48,37200.0,2.61724
27,66900.0,0,67538.31857142856,1.07292
38,51600.0,0,52307.55285714286,3.01148
23,26400.0,0,27020.504285714287,0.57412
16,58500.0,0,59159.06428571429,1.6538
27,58200.0,0,58838.31857142857,1.07292
0,31456.568571428572,8,32100.0,1.21608
0,49057.45428571429,57,49800.0,3.99128
17,79200.0,0,79865.43571428572,1.8322
0,27506.80285714286,41,28200.0,2.60952
3,22500.0,0,23124.70857142857,0.69184
0,34151.96142857143,30,34800.0,1.34508
8,67200.0,0,67843.78285714285,1.22592
30,44100.0,0,44748.43142857143,1.35608
44,21900.0,0,22636.484285714287,3.82156
0,69843.45714285714,32,70500.0,1.5832000000000002
34,39900.0,0,40567.47285714286,1.88924
34,79500.0,0,80167.47285714286,1.88924
0,31765.634285714284,7,32400.0,0.96224
17,67800.0,0,68465.43571428572,1.8322
0,57292.67571428572,5,57900.0,0.20508
0,73707.77142857143,47,74400.0,2.5824000000000003
31,60000.0,0,60658.717142857146,1.64408
40,63600.0,0,64318.03571428572,3.305
0,35661.69142857143,27,36300.0,1.07264
0,63275.29142857143,3,63900.0,0.69184
0,45251.96142857143,30,45900.0,1.34508
54,54000.0,0,54720.84857142857,3.38376
0,57201.90714285714,19,57900.0,2.7466
0,56601.555714285714,18,57300.0,2.75644
0,63238.36571428571,15,63900.0,1.72576
34,86100.0,0,86767.47285714286,1.88924
44,21600.0,0,22336.484285714287,3.82156
0,26011.905714285713,21,26700.0,2.46664
58,48900.0,0,49636.92857142857,3.834
0,30226.324285714287,13,30900.0,2.06292
53,81600.0,0,82325.52428571429,3.51468
46,79500.0,0,80241.13142857143,3.95168
0,22781.307142857146,24,23400.0,0.5234
34,79200.0,0,79867.47285714286,1.88924
0,60506.96428571428,20,61200.0,2.605
0,69164.79714285715,38,69900.0,3.78568
0,59906.96428571428,20,60600.0,2.605
0,-983.4657142857144,39,-300.0,2.33704
9,78000.0,0,78653.12142857142,1.4874
0,77356.56857142856,8,78000.0,1.21608
0,-383.4657142857143,39,300.0,2.33704
10,36300.0,0,36903.47142857143,0.0972
0,48888.87857142857,22,49500.0,0.3114
0,29906.964285714286,20,30600.0,2.605
0,66794.07714285715,16,67500.0,2.96584
9,54900.0,0,55553.12142857143,1.4874
6,83400.0,0,84024.20571428571,0.67776
6,59700.0,0,60324.20571428571,0.67776
0,54276.15285714286,6,54900.0,0.6677200000000001
0,3896.8714285714286,11,4500.0,0.0876
0,63538.36571428571,15,64200.0,1.72576
9,68100.0,0,68753.12142857142,1.4874
0,57851.96142857143,30,58500.0,1.34508
33,84600.0,0,85269.01857142858,1.93252
54,75600.0,0,76320.84857142858,3.38376
0,296.5285714285714,10,900.0,0.0972
0,3292.92,1,3900.0,0.19824
0,82460.32714285715,28,83100.0,1.11084
26,63900.0,0,64528.862857142856,0.80816
49,22200.0,0,22903.755714285715,2.90516
0,40170.817142857144,25,40800.0,0.8171200000000001
52,66000.0,0,66716.01714285715,3.2484800000000003
34,39600.0,0,40267.47285714286,1.88924
0,77361.69142857143,27,78000.0,1.07264
46,63300.0,0,64041.131428571425,3.95168
0,70443.45714285714,32,71100.0,1.5832000000000002
0,61196.87142857143,11,61800.0,0.0876
0,65388.87857142857,22,66000.0,0.3114
0,26088.878571428573,22,26700.0,0.3114
8,47400.0,0,48043.782857142854,1.22592
0,30596.871428571427,11,31200.0,0.0876
0,56931.00571428571,33,57600.0,1.93184
9,55200.0,0,55853.12142857143,1.4874
58,48300.0,0,49036.92857142857,3.834
23,43800.0,0,44420.50428571428,0.57412
43,52200.0,0,52902.39,2.86692
